"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 06 19:17:21 IST 2023","Fri Oct 06 19:17:26 IST 2023","5686","chromium","saucelabsdemo.spec.js","Login Page Test Suite","","","Verify the valid logged in user is shown 'Yout information' page post clicking on the 'Checkout' button",""
"passed","Sat Oct 07 17:56:46 IST 2023","Sat Oct 07 17:57:01 IST 2023","15448","chrome","demoToGenerateHARFile.spec.js","","","","Generate HAR file",""
"passed","Fri Oct 06 19:17:21 IST 2023","Fri Oct 06 19:17:26 IST 2023","5028","chromium","saucelabsdemo.spec.js","Login Page Test Suite","","","Verify the valid logged in user is able to login and add items into the cart",""
"passed","Fri Oct 06 20:45:33 IST 2023","Fri Oct 06 20:45:44 IST 2023","10805","","storageStateDemo.spec.js","","","","Verify the valid logged in user is shown 'Yout information' page post clicking on the 'Checkout' button",""
"passed","Sat Oct 07 17:56:57 IST 2023","Sat Oct 07 17:57:00 IST 2023","3522","chrome","saucelabsdemo.spec.js","Login Page Test Suite","","","Verify the valid logged in user is able to continue to next page post filling the details in the 'Yout information' page",""
"passed","Fri Oct 06 19:16:34 IST 2023","Fri Oct 06 19:16:46 IST 2023","12267","chromium","storageStateDemo.spec.js","","","","Verify the valid logged in user is shown 'Yout information' page post clicking on the 'Checkout' button",""
"passed","Fri Oct 06 21:03:27 IST 2023","Fri Oct 06 21:03:29 IST 2023","2048","","saucelabsdemo.spec.js","Login Page Test Suite","","","Verify the valid logged in user is able to login and add items into the cart",""
"passed","Fri Oct 06 19:17:21 IST 2023","Fri Oct 06 19:17:26 IST 2023","5219","chromium","saucelabsdemo.spec.js","Login Page Test Suite","","","User is able to login with valid credential",""
"failed","Tue Oct 03 18:57:16 IST 2023","Tue Oct 03 18:57:20 IST 2023","3487","firefox","saucelabsdemo.spec.js","Login Page Test Suite","","","Verify the valid logged in user is able to continue to next page post filling the details in the 'Yout information' page",""
"passed","Sat Oct 07 17:56:46 IST 2023","Sat Oct 07 17:56:57 IST 2023","10882","chrome","saucelabsdemo.spec.js","Login Page Test Suite","","","User is not able to login with invalid credential",""
